	a much needed relaxing stay!	Good hotel service starts at check-in and the front desk agents at the Red Roof are always so friendly! They made sure we had the things we needed for the night and greeted us everytime we walked past the desk. Our room was cozy and very clean. The comlimentary coffee in our room was perfect in the morning. I'll definitely stay there again soon.	
Oct 17 2005	Mediocre Hotel	We paid only $80/night by booking through Expedia. The location is great...a short walk to the Magnificent Mile and bus stops. The subway stop is several blocks away though. The room is too small for more than two people in my opinion. My partner and I had just enough space for ourselves and two suitcases. The hotel only has two small slow-moving elevators serving 16 floors. The elevators were often full, and we would have to wait for it to come around again.We were given a smoking room even though I had requested non-smoking. One of the bedspreads had several dark brown stains, and we requested to have it changed on our first morning there. I pulled the bedspread off, and then I placed it on the floor with the stains clearly visible. The housekeeper made the bed with the same stained spread. I called and requested a new spread again, and then I made the bed myself once it was delivered. The bathroom was very clean -- a definite plus. None of the front desk staff members we encountered were personable. We talked to several staff members, and none of them seemed enthusiastic to be there. Two different staff members were engaged in obvious personal calls while checking in guests. (One was talking about her baby shower, and another one was making plans for later that night.) I requested a second luggage rack, but my request was denied because they do not keep extra on hand. Overall, we were not real impressed with hotel. The price was great, but the staff and cleanliness were not impressive.	
Oct 5 2005	Better than the price indicates.	Last year I stayed at the hotel across the street from the Red Roof Inn. This year, that hotel's price went up about $80 a night. This required a change in accomedations for this year's trip. We had seen the RRI last year and decided that it was worth looking into for this year's trip. Boy am I glad I did that. It's the same location for half the price.When I judge a hotel, there are two things I look at. The first is the bathroom and the second is the cleanliness. At this RRI, the bathrooms were a little tight around the toilet, but the shower is roomy. The rooms were very clean and the housekeeping came every day. We got rained on two of the days we were there and the front desk gave us extra towels with no questions. These rooms are small and there is minimal furniture in them. They are shapped like a long rectangle with the door and the head of the beds against the long side. There's about 3 feet from the end of the bed to the other wall. This makes them feel smaller than they are. If you have more than one piece of luggage per person, the room will get crowded as there is no real good place to store you bags. We paid extra for a refridgerator and microwave and it was worth every penny. There was a desk in a corner and a small dresser with the TV on top of it. The hangers were at the far end of the room near the bathroom.I do want to stress that for the price, this is the best hotel near Michigan Ave.	
Sep 25 2005	happy staff/ happy customers/equals a great stay	my wife and i stayed at the red roof from sept 10 to 15th we got the L train from ohare to clark st $1.75 each and a$6.00 cab to the hotel the staff were very pleasant for the whole visit and any advice or tips were no problem to them the location was great 50 yards from michigan avenue and 10 to 15 minutes stroll to navy pier loads of resturants and bars nearby the room we got on the 15th floor was very clean and tidy and had two double beds we paid $700 you could pay a lot more for something more upmarket but if your their to see the city and not law and order 2 times a night this hotel was just fine enjoy	
Sep 16 2005	Good Experience for the Price	We stayed at the Red Roof Inn when we were in town for a wedding. I wasn't expecting much and was pleasently surprised. The rooms are clean and the beds are comfortable. The location is fantastic. The room was smaller than I expected - even for a city hotel. If you are traveling as a couple alone I would suggest requesting a room with one king sized bed. Our room had 2 double beds and it was difficult to navigate. We had trouble finding places to put our suitcases!Overall it was a good experience.	
Aug 28 2005	Great Value	This hotel is a wonderful suprise. Like every other review says, the rooms are small. But if you are in Chicago and spending your time in your hotel room other than to sleep, there is something seriously wrong. This hotel is very clean and quiet. It is so close to everything. It is only one very small block from Michigan Ave. All city transit is very close and accessible. All the major shopping is close. It is close to restaurants. Anything you could possibly need. The West Egg cafe is the place for breakfast. Just one block from the hotel. There were line ups for this place every morning we were there. My only complaint of the hotel is that there was only one staff on at night. We had called down to the front desk for more glasses and we were asked if we could come down and get it as they were the only one working at the time. But for the price we paid it was a small inconvience. We had looked at other hotels in the area that were almost twice the price and i am very glad we did not pay the extra. This really is a great value hotel. Also for deep dish pizza, you have to go to Gino's East, probably the best pizza i have ever had. It was about a 5 - 10 min walk from the hotel straight down Ontario St.	
Aug 11 2005	Great Value 	I want to say first, that i was very nervous about what to expect. I had read a lot of reviews on your site about Chicago hotels and the prices being paid...i didn't know what to expect. Boy was i ever PLEASANTLY SURPRISED!The Red Roof Inn is a very nice hotel in the heart of Downtown Chicago. I read about small rooms, but the key i found was getting the &quot;KING SUITE&quot;, like $10-$15/night more...it was plenty of room for my wife and i and 2 teenagers (they slept on the fold out sofa), 2 TV's, 2 Bathrooms, Microwave &amp; Fridge in the room. We paid $130/night, compared to $200-$300/night in hotels that we walked past on a daily basis (i.e. same location).The Best part of the deal was the location. You are literally 1 short block off the heart of Michigan Ave/&quot;Magnificent Mile&quot;. Free Trolleys run to all the places we wanted to go (museums, shopping, navy pier, parks, etc.) which you can catch within 5 minutes walk from the hotel. Lots of wonderful restaurants, we took the Amtrak to Chicago from San Antonio (wanted to &quot;experience&quot; the train) and never rented a car. We did mostly the trolleys and a few cab rides.Again, the room was very nice (not the 4 Seasons, but comfortable beds, nice linens, and very clean...plenty of hot water). This is a GREAT place for budget minded families who are more interested in Chicago and a nice place than a &quot;palace type room&quot;.By the way, I tried the Garrett's Popcorn (caramel corn), it was AWESOME...i knew it had to be good when i counted 32 people standing in line waiting to get it on Michigan Ave...well worth it if you like caramel corn.Thanks TripAdvisor....i will ALWAYS use your site in my future travels	
Jun 18 2005	Good Deal	Stayed here for 5 days. Decided to get the business 17&quot; TV and got a pretty spacious room. Suspect by paying a little extra got a slightly bigger room which was more than adequate for the price and well worth it.Location is extremely good. The only down side was that the toilet was &quot;wedged&quot; against the wall meaning it was uncomfortable to use. Not sure why this was done as there was plenty of space to move it out a little.Would stay here again.	
Jun 7 2005	Wow!! Small rooms	My friends and I stayed at the Red Roof Inn from June 3-6. I had trouble deciding between 2 and 3 stars. The room was very clean, which is wonderful, but it was SO SMALL!!! We just could not get over how small the rooms were. I had read reviews in which they said that, but thought, &quot;How small could they REALLY be?&quot; and booked there anyway. The answer: SMALL!!! :) There was hardly anyplace to store our luggage or anything, no room to walk at all, and the bathroom was tiny too. It reminded me of some of the tiny hotel rooms you see in Europe or something. The front desk staff was nice enough. This is definitely a no-frills hotel, and you get what you pay for. So, the good things were that it was a clean hotel, but if I had to do it all over again, I would pay a little more money and stay someplace nicer.	
Jan 22 2005	Excellent place to stay!	Great place, location, and price! If you want to go to the windy city for a couple of nights, this place is perfect. You are just a few steps away from Michigan Ave. My room was clean when I arrived, and was cleaned every morning. My only complaint is with the heat in the room. It was about 10 degrees outside, and the heater was blowing cold air. I went to the front desk to ask for a blanket. (I'm thinking for the rate I'm paying at this place, asking for an extra blanket is fine. I could be paying $400/night across the street at another hotel, and still have the same problem.) Not a big deal to me. When I came back to the room the next day, they had replaced the heating unit in my room! The staff was very friendly. It is not a place for those looking for the treatment you receive at some other hotels. There is no free breakfast, no bellhop, no room service, and no USA today paper delivered at your door. (I think a free paper might have been available at the front desk though, as well as free coffee) Valet parking is available. I paid $24 for it. If I chose to park the car myself and carry my stuff to the room, it would have been $22. 2 extra bucks well spent in my opinion. Best value in downtown Chicago!	
Oct 11 2004	Great Place for the Price	You probably cannot find a hotel with a better location in Chicago at a rate anywhere nearly as reasonable as the Red Roof Inn. The rooms are small and somewhat out of date, but if you are in Chicago, why are staying in your room anyway? Get out, eat the great food and have fun. We asked the staff for recommendations, and received great advice on restraurants and cafes. Although I consider this a good place to stay when you are in Chicago for fun, I could not recommend the Red Roof for a business stay, unless your goal is to save money.	
Oct 9 2004	Perfect location spotless and comfortable.		
Aug 29 2004	interesting find		
Aug 12 2004	Red Roof Inn CheepClean and good location		
Aug 3 2004	1st Trip To Visitor-Friendly Chicago		
Aug 2 2004	Uhh Can you say gross and tiny		
Jul 20 2004	Best Deal in Town!!!		
May 31 2004	Good place to stay		
May 18 2004	great place		
Oct 16 2002	Dissatisfied with Red Roof		
Apr 24 2002	A great location nothing more nice to say		
Nov 22 2009 	Quand même bien.		
Apr 30 2008	In centro ma con camere minuscole		
