	Great Location and Staff	Had a wonderful stay with my wife for our 1st Anniversary and hope to stay here again! Got into town early on a Friday, staff was extremely nice and helpful even though they didn't have our room ready because it was so early. Stored our luggage for us and even let us get some items back out after they had already stored them. Went out and did some sightseeing and came back to check-in which was a breeze and found out that they had given us a free upgrade to a suite because it was our anniversary. Room was very nice and clean with lots of room to spread out and relax. Later on in our stay, I realized I had forgot my shaving gel and call the front desk to see if they help me out since we were running late for our dinner reservations and someone was up to our room in no time flat with some shaving cream.One of the greatest things about this hotel is its location. You are right in the middle of EVERYTHING on Michigan Ave!! You have all the shopping you could want and more with the ability to run your bags up to your room and not drag them all over town. You have quick access to numerous restaurants that are just short walks from the lobby, as well as bus stops across the street that will take you to various museums and other points of interest in the city. The only thing I could see someone faulting this place with is the noise from Northwestern Hospital right next door. We were on the 27th floor and the noise did not bother us at all and my wife is a very light sleeper. Other then that, Avenue Hotel is a great place to stay and enjoy Chicago and we look forward to returning soon.	
Jul 19 2008 	new hotel near Michigan Ave	Excellent new hotel one half block from Michigan Ave. great value too. This used to be the Radisson and has been completely remodeled.Room furnishings are really nice and modern. Free internet in the room. Great service. Do go swimming in their rooftop pool. This really cooled me off during the 4 hot Chicago summer days this month.We had a corner suite facing the Lake. The staff were very attentive.This is more of a &quot;hip&quot; hotel than a standard business hotel, but if this 52 year old CPA liked it, you will too!	
Jul 15 2008 	Luxury	I was a little sceptical at first because the hotel had formerly been a Radisson but, upon arrival my fears were put to rest. The lobby wasn't much but I wasn't sleeping there so I didn't care. Front desk clerks were friendly and helpful. We were headed to cubs game so we didn't check in till after. The room was exceptional. The bed was so comfy, linens were plush as were the towels etc. Hotel was in a great location...shopping, eateries and entertainment all close by...we never took our car out of the garage. Parking on premises is $48.00. I had a great time in Chicago!	
Jun 30 2008 	Little Disappointed	We recently stayed at The Avenue the last week in June for two nights. Before arriving, I had called the hotel to see if we could check in early as we were traveling with two younger children. They said it wouldn't be a problem. Upon arriving at the hotel at 2 p.m., we were told to come back at 3 p.m. and maybe our room would be available. We went back at 3 p.m. and stood in line until 3:20 p.m. and were then told to come back at 4 p.m. and perhaps our room would be ready (check-in is suppose to be at 3 p.m.). At 4 p.m. our room still wasn't ready and I was starting to wonder if there wasn't a problem with the room. They ended up giving us a junior suite for the same price as a room with two queen beds. While the rooms were nice and new, the staff never seemed to quite follow through. We were suppose to get chocolate covered strawberries upon our arrival and called down 3 times and kept being told they would be sent up. It got to be a joke with my husband and I. Upon our departure, there was a room service charge on our bill (probably for the strawberries we never received!). I called to have that removed and was told they would call us right back. That never happened. I will say that the housekeeping staff was great as was the doorman who always recognized us and had a smile on his face. The location is great as you're about a half block off of Michigan Avenue. We were located on the 24th floor and you do hear sirens all night long as the hotel is across the street from Northwestern Hospital .	
Jun 27 2008 	Great location 	My first impression of this hotel was surprise. I was expecting the Radisson, but it recently changed to The Avenue a month before. Pros: The decor is tres cute - in the lobby were blue chandeliers over the check in desks, modern furniture, great jazzy background music... My room was also very tastefully decorated. The bed and pillows are to die for - I never wanted to wake up! The location is just around the corner from Magnificent Mile, and is walking distance from everything (like Dunkin' Donuts and Gino's East pizza)! Employees were friendly, concierge was helpful. I didn't try the Elephant &amp; Castle Pub, but I hear it's good.Cons:Elevators are sloooow. Lobby is small, and if you want to buy any snacks or water, you have to go to another hotel or go around the corner to Walgreens on Mag Mile. Not a lot of TV channels to choose from. The iPod dock didn't work. My bathtub didn't drain, the deadbolt on my door didn't work, the toilet handle leaked when I flushed. My colleague and I were both locked out of our rooms on two different days as our keycards stopped working. My last evening there, I discovered that housekeeping didn't leave me any bath towels. Overall, my experience at the Avenue was a good one. I loved the location. Did I mention that the bed and 4 big squishy pillows are to die for? That alone made up for everything else that went wrong.	
Jun 3 2008 	Good Room Perfect Location	My wife and I spent 4 nights in the Avenue Hotel recently. It was our first visit to Chicago a truly great city. I was a bit concerned by some of the mixed reviews I saw on TripAdvisor but our experience was excellent. We had a Junior Suite on the 19th floor which was an enormous room with one of the most comfortable beds I ever slept in. Cleaning every day was first class. No uncleaned glases as an earlier reviewer found. Lovely fluffy towels. For a city centre hotel we did have a reasonable view. Location was great, just off Michigan Avenue and about 4 blocks from the lake. Perfect for a pre or post breakfast stroll. Also handy for the Wednesday night (9.30pm) fireworks at Navy Pier. Some reviewers recommended the nearby Corner Bakery for breakfast. It was ok but we found the food quality better for a few extra dollars in the Elephant &amp; Castle Pub (can be entered from the hotel lobby). The only deficiency was the absence of a fridge in the room. Staff were friendly and helpful. We will return to Chicago and will stay at The Avenue for its comfort, location and price.	
May 29 2008 	Just an "ok" hotel.	We booked this hotel using Priceline, so we didn't know, or have a choice as to where we would be staying. We stayed here when this hotel was a Radisson (I guess it has changed hands now?), so maybe the experience is better now...not sure. Anyway, the location was wonderful...just off of the Magnificent Mile and near many, many restaurants. However, we found the staff to be very unfriendly and not helpful at all when we asked questions about area attractions. Also, when we arrived in our room we heard EXTREMELY loud construction noise that was so horrible that we called the front desk to ask for a room change. We were upgraded to a nicer room...same noise though. Luckily, the construction stopped because we were there over the weekend and they weren't working. I'm glad we weren't there during the week...I would have gone crazy!Overall, this hotel was just &quot;ok&quot;...we will try out a different place the next time that we visit Chicago.	
May 28 2008 	Lovely Hotel in Great Location	My experience at this hotel was very positive. It was obvious that the hotel had just been remodeled. The lobby was very mid-century modernist (think Barcelona chairs…) with a cool fireplace. The reception area was very unusually laid out. My room was wonderful. The furniture was very metro-chic with lovely dark woods and a flat screen TV. I loved the bedding and the bathroom was very nice (granite and modern cabinetry). The view from my room was impressive. We had a north facing room so our view took in the sunset (at an angle) and the lake (the other angle) with some of the lovely skyscrapers as the focal point. I stayed three days and the staff was very friendly and accommodating. The room was very clean and fresh every day. I have to admit I was concerned about the uncertainty of the new hotel ownership but it really turned out to be a very nice hotel.The location is prime. The Avenue Hotel is just steps from Michigan Ave (Mag Mile) and is not far from the Water Tower. This is my favorite part of Chicago to stay in so I was extremely pleased with the quality and location of this hotel. I will stay there again.	
May 23 2008 	Stay Away From This One- Worst Customer ServiceRipoff	Don't be fooled by the looks of this hotel. Outwardly it may seem nice but once you stay here you will be surprised at how substandard this hotel is. There are also not many channels-just the basic ones. Cable channels are charged a lot. When we got there, we just realized that we don't have a fridge nor a bar and because we were too thirsty from a long flight we had to ask for room service but that didn't happen either because the front desk said room service is not available. When we complained about the lack of fridge nor drinks in the room, Julio the manager said that they charge $25 a night and that it's not part of their amenities. I mean even Super 8 motel has a fridge!!This hotel is so backwards!!! I said is it because you guys are a new hotel that you don't have a fridge and they said they will never have a fridge as part of their amenities!! When I started complaining about it, he said there's nothing he can do because I booked it on priceline!!!! I think every customer deserves to be treated with topnotch customer service no matter where they booked the hotel. I said that this will be a bad review on Julio's customer service and on the hotels substandard features on tripadvisor and he said that I can go ahead and give him a bad review because there's nothing he can do about it without even offering a solution to us!!! I think if you talked to a manager and manager can't do anything, then I think this hotel is such a hopeless case. You should save your dollar and find yourself a great hotel that will make your stay in the beautiful downtown Chicago memorable and this hotel will just make your stay miserable.	
May 18 2008 	nice just missing a few details	Stayed at this hotel recently for a few days.Everything apparently has just been redone which is nice.Staring from the time I checked in, the bellman was very nice, and brought to the check-in area(more on that later) The lady checking me in was very nice(Russian)but a bit of a language barrier once in a while.Went up the room, very large and nicely clean and appointed, bathroom a bit small, but it was fine. My only complaint with the room was no safe and no mini bar(but was told that will come soon) Went back downstairs to ask about restaurants and was directed to a very knowledgeable concierge. He sent us to a great Italian restaurant just down the street one night and a great brunch place as well. The doorman was also very good.While in the lobby, aside from the strange front desk set up (four little areas, perhaps it is temporary) the lobby was rather sterile. Leather chairs and sofas, but no flowers or plants. Lots of windows, but no coverings.Oh, it was raining a bit and they were always out of umbrellas. I picked one up at Walgreen's down the street, but it wold have been nice to have one before I got wet.No problems with checkout.So, maybe they still have some work to do, then I wiill be back.	
May 16 2008 	Enjoyed the stay!	This hotel was wonderful! The beds were so comfortable with the down comforter and comfy pillows. There was an ihome where you could connect your ipod for music, a flat screen TV with many channels, and updated appliances. Convenient location and the room was BIG. Planning on staying at the Avenue time and time again!	
May 13 2008 	I should have spent more money on a nicer hotel!!	What kind of hotel doesn't have a fridge or microwave in the room? My wife was here with work so my daughter(2yr) and I came to just get away. Room service wanted $7.00 for cereal!!! luckily there was a Walgreen's just around the corner so we bought our own but with no fridge we also had to buy a cooler to keep her milk in. The &quot;pool&quot; area is about the size of 2 rooms or so very small. The sign said closed for the season, however the construction guys renovating the top floor says it has more to do with that. Now for the good points, location is great, bellhop doorman whatever the title was very helpful getting our stuff and taking care of getting our car parked which was another pain in my wallet $48.00 a night holy cow!! They do have hdtv's in the rooms but are running analog signal so it looks like crap, but I brought my dvd player and a bunch of movies so it could be worse.	
Apr 29 2008 	Great new addition to Magnificent Mile	The Avenue Hotel is a new(ish) hotel just off Michigan Avenue/Magnificent Mile. It was formerly a Radisson Hotel and I'm unclear on whether it's simply being rebranded -- and remaining part of the Radisson group -- or whether it's an entirely new botique hotel. Regardless, despite the hotel not being entirely finished yet, I had a very positive experience.Another hotel lost my reservation (despite my confirmation number with the right number of letters and digits) and Chicago is very expensive, particularly at the last minute -- even for a business trip. I stumbled on to the website for The Avenue Hotel. And they were offering grand opening specials of $99/night -- unheard of in Chicago! I checked and even their rates after the grand opening are more reasonable than the competition.The hotel is just east of Michigan Avenue on Huron, in the center of all the shopping, adjacent to Northerwestern Hospital, and a 5-10 minute walk from the Red Line subway. The location couldn't be any better.The lobby is still under construction, but I liked what I saw. The bellhops are friendly and helpful. The check-in desk is a weird arrangement with individual desks for three or four work stations -- not the most sensible arrangement and the front desk staff seemed a bit confused, albeit helpful.The lobby also includes an Elephant and Castle British pub, which is a chain with a few locations in Chicago -- and has good food and drink. The hotel has room service, which I didn't try, and will eventually have a restaurant/bar on the top floor.The elevator area was still a bit messy when I was there -- construction was on-going and the elevators haven't been renovated yet (and the hallways didn't appear renovated either) -- but it's not bad -- and certainly not bad for the price I got my room.I booked a standard king size room and was very pleased. My room had been renovated and was very attractive with a great bed. The room was very large, with ample workspace and a seating area, a nice HD flatscreen TV, and a huge desk -- with more than acceptable free wireless internet.My view was expansive -- I looked north from the 27th floor and could see large parts of the Magnificent Mile -- and by craning my neck I could see from Lake Michigan to the Chicago River.The bathroom was a bit on the small size, but still quite nice.At the rate I paid -- or anything close to it -- this hotel is an insane bargain. But even at twice the price, which is less than the going rate for comparable hotels in the area, this is a fine hotel in a great location -- that will only get better when the construction is over.My only warning is that there are several new buildings being constructed in the area, including the new Children's Hospital. While my room was silent I heard two guests complain about the nearby construction (again, the hotel construction doesn't seem to be an issue at all since the rooms are finished. The front desk told the complaining guest that the city requires all work to be done by 3:30 p.m. -- so nearby building construction shouldn't be a problem.Again -- I was very pleased with my stay, and for now, this hotel is a gigantic bargain.	
Sep 9 2009 	tres bien		
Aug 8 2008 	Wirklich empfehlenswert		
