	Great stay in the windy city	Hotel was as described and whilst there was obvious works going on in the hotel we never heard anything. Staff were always polite and welcoming and its situ is ideal. I would recommend The Old Pancake House for breakfast, as per other trip advisor recommendations, it is superb quality and value.	
Aug 24 2006 	Great Hotel in great location	We stayed for 5 nights at the Whitehall Hotel and was a little aprehensive having read some of the previous reviews, but was presently surprised. The hotel is in a great / safe location, 2 mins walk from the Hancock Tower (go for cocktails in the Signature Lounge) and the magnificant mile shops and restaurants. The room was perfect for our needs, as we spend little time in the room. It was spotlessly clean and the bed was extremely comfortable. We had a room right across from the lift but at no point was noise a problem.All of the staff were very friendly, helpful and approachable and we felt very welcome.There is free tea and coffee available in a morning near the lobby which is handy as their are no coffee making facilities in the room A metro stop is 5 minutes walk from the hotel and you can travel all over the city for $2 a trip which we used to get to and from the airport and to the baseball.Chicago is a great city and i would have no hesitation in using this hotel again on future visits.	
Jul 25 2006 	Welcoming	I took my 6 year old daughter to Chicago for a 2 night stay, and I picked the Whitehall using this site and reviews. The location, as mentioned, is PERFECT for shopping (American Girl Place especially)! It is an older hotel, so don't expect modern, and I didn't. We were both greeted warmly and welcomingly EACH time we entered the doors. The doorman opened the doors for us EACH time, and said, &quot;welcome back.&quot; I liked that touch, and my daughter felt like a princess. The price can't be beat for the location. I do agree that the ceiling in my bathroom was a little worn down, but I just didn't look up :) I would stay here again!	
Jul 18 2006	Can't beat the location!	I stayed in Chicago for 2 nights mainly just for siteseeing &amp; a relaxing weekend. I am a student and am on a tight budget so I was looking for a hotel that was cheap but in the metro area. If you've been in my position before you know its a hard thing to find. But the Whitehall Hotel does offer a PRIME location for it's price. In the heart of the Magnificant Mile, its walking distance to all the great stores, water tower, Hancock Building and even The Loop. The staff is very friendly and ready to help. The room I god was a bit small, but it was only for me so I didn't mind. If you have a bigger group I wouldnt recommend it. The bed, however, was INCREDIBLE soft and comfortable. Loved it!The view wasn't spectacular but I wasnt staying there for the view anyhow. I think my only complaint would be that I was charged a $50 fee to use their internet jsut to &quot;verify&quot; my credit card even though I was already being $10 per 24 hour period to use it. When I questioned the front desk about this they said it was only verification and wouldnt come out of my checking account, however, it did and I had to contact their accounting office several times to get it resolved. Other then that it was a fantastic stay	
Jul 5 2006	Wow! This place is Wonderful!!!	We booked the Whitehall Hotel for July 1st -- just a one night stay in Chicago -- to go watch my daughter and her boyfriend skydive at the nearby Chicagoland Skydiving Club. Because I got a FABULOUS price ($128) via LastMinuteTravel[--], I figured we'd get an interior room on a lower floor. However, we could not have been MORE PLEASED!!!! We got a corner room on the very top floor overlooking Lake Michigan. It had a huge bay window with a window seat on one side of the room and a smaller window facing the lake and Michigan Avenue on the other side. The beds were just like the &quot;Heavenly Beds&quot; at the Westin. They had feather beds on top of the mattresses with down comforters and down pillows on top of that. VERY COMFORTABLE. The decor was absolutely beautiful -- rather old European style with dark ornate woodwork. The bathroom was small but impeccably clean and well-decorated. The only &quot;problem&quot; if you want to call it that was not really a problem at all, because of the considerate way that management handled it. When we first arrived, the air conditioner was not working in our room and they were in the process of replacing it. They allowed us to bring all of our belongings up to the room at check-in time, but we did not want to be in the repairman's way, so my daughters and I took off to do some shopping on Michigan Avenue, while my husband went down to the restuarant on the first floor to grab a bite to eat. When he had finished eating, he was told that there would be no charge for his food because of the problem with the air conditioner -- That was a very pleasant surprise!!! The air conditioner was replaced and running perfectly by the time we got back to the room. We would DEFINITELY stay here again! Great location, great hotel, great rooms, great staff. They rate an A+++++. Definitely top-notch. It can't get much better than this!!!	
Jun 21 2006	Comfortable and clean	After reading mixed reviews on here for this hotel, I arrived with some trepidation, especially as my job involved staying in a lot of hotels, so my standrads are quite high.However, I was pleasantly surprised - maybe I just got lucky with my room. After a very long journey from London, I was sooo ready for a shower and a lie down. The staff who greeted me were pleasant and helpful and I was checked in fairly quickly. The initial impression of the Reception area was that it was calm, elegant and nicely decorated.The room itself was perfect for my needs - a lovely big bed with a plump quilt and pillows. the bathroom was clean and the shower most welcoming. I slept very well in that bed.Although it describes itself as a boutique hotel, it doesn't quite follow the definition as it is in Europe and other parts of the world, and as I see it - boutique to me is minimalist lines, neutral colours, very modern / contemporary, little fuss. However, i would still describe this a more luxurious hotel, has its own style and is comfortable.The location - well, it's 2 mins walk from The Magnificent Mile, so nothing wrong with that!	
May 31 2006 	Little slice of Hell...	After staying at the Whitehall, I have to laugh at the comment below that described the Whitehall as a &quot;little slice of heaven.&quot; Clearly, we stayed at different hotels. I ended up at the Whitehall thanks to a great Priceline rate for a &quot;boutique&quot; hotel (really, really cheap and so not worth it). The rooms are dirty and small. Carpets are badly stained. The rooms smell. The showers are falling apart. The TV doesn't work properly. The staff is snooty to the max.This is truly a bad hotel. Really, really bad.Location is amazingly good, but that's not the hotel's accomplishment.	
May 7 2006	Poor service shabby room	Arrived to find our room was not the double we had requested. Front desk staff rectified the problem but commented rudely that if we had made reservations directly through the hotel we would not have run into the problem. Room was subpar at best. Mold growing on ceiling over bed where there had been a water leak. Bathroom had cracked tiles, dented and scuffed wood work, swivel mirror falling off wall and stained tub. Plumbing was antiquated along with the electrical fixtures. Poor lighting in room and bathroom. Had to screw the light bulb into the socket of table lamp to get it to work. Curtains were partially off the rod. We rehung. Furniture was old and laminate was peeling. Our complaint to the manager via email and snail mail after our visit delivered no satisfaction. He did call and offer a free stay but that was the last we heard from him. Never received anything in the mail. Would not recommend this hotel to anyone.	
Apr 14 2006	White Hall Inn	We stayed at the White Hall Inn and had problems with the AC, plumbing issues that I would liken to Old Faithful and our friends who were booked for a king size bed got a full size. While at breakfast, we overheard several other guests complain about similar problems. Management refused to do anything other than comp the breakfast, which they did a lot that morning.	
Apr 8 2006	Prime location excellent price	We stayed last week at the Whitehall Hotel. We liked it we had one of the refurnished bathrooms and the room was pleasant. The best about this hotel is the location. Right in front of the four seasons hotel, 1/2 a block from the magnificent mile, you can't dream of a better spot for such a price.	
Mar 24 2006	Very smart hotel	Just arrived back from a five day trip to Chicago, while there we stayed at the Whitehall. First of all the location was excellent, fifty yards from Michigan Ave and a very short walk up towards Division street where there were a host of pubs and restaurants. On checking in to the Hotel we were greeted by a lovely receptionist who by a stroke of luck was married to a scotsman, therefore she could understand our dulcit tones. We were placed on the 12th floor looking on to East Delaware, not much of a view but we spend very little time in the room anyway. The room was massive with a huge bed, impeccably decorated and laid out, it had all the hallmarks of a very upmarket hotel but not at the same prices. We also never heard a sound from any other guest rooms, (maybe they were empty), also the complimentary coffee in the morning has a refreshing touch. The concierge went out of his way a few times to help us out, he even phoned one of his contacts to get us to the airport, same price but smarter car with loads of room. To sum up a very good choice of hotel with an excellent location with great helpful staff, will be going back next summer, the concierge has told me to e-mail him directly and he will see me allright with room rates. Cant ask for anything better.	
Jan 2 2006	Staff is great property OK	Stayed at the Whitehall just after the new year. Staff was all very helpful and friendly. Virgina and Julia were both cheerful and went out of their ways to help out with recomedations, because their was no concierge available. Unfortunately, my chats with the front desk staff was frequently interrupted by ringing phones. I travel quite a bit, and have never witnessed anything quite like this. Shouldn't an operator or other employee be in charge of answering phones? The girls at the desk were swamped with reservation calls, and even room service orders at times! With that much going no one gets the attention they deserve. While the staff of the Whitehall is great, their understaffing puts everyone, guests and employees alike, in a poor situtation. I must say there are aspects of the hotel that are charming and it couldn't be in a better location, it does not under any circumstances live up to the somewhat &quot;overly-glowing&quot; reviews. I was treated well and hotel was average and old. I did not feel like a celebrity! I was not Lapping up all the Luxury! Not sure if you have to tip like a mad man or work for the hotel's sales team to be able to write a review like that, but in any event, the hotel is fine, but their best feature, their staff, are over worked and under appreciated. I will most likely stay elsewhere.	
Dec 22 2005	Chicago's Pristine Gem	Luxury Hotel is an absolute understatement when it comes to this little slice of heaven nestled downtown in the heart of the Windy City. The Whitehall Hotel is a gleaming paragon that outshines its competition with ease. Being a travel agent, I know what to look for and what to expect from a luxury property and they have never fallen short, they have always gone above and beyond to meet not only my own needs when I visit, but the needs of every client I've sent there... and I send a lot of clients to the Whitehall. From the ground up, every guest is treated like a Donald Trump or Bill Gates. You can't ask for a better concierge, and I dare anyone in the field to find better room service.The fitness center is also superb. The valets are curtious and quick without hazard. I recommend this property regularly to clients as its charm consistently and steadily speaks for itself.	
Nov 21 2005	Nice place	We had a Gold Coast package which included parking and breakfast and a room on the 14th floor with a partial view of the lake. The hotel caters to business people but we were there for a vacation. The hotel was quiet and the bed was extremely comfortable. The only quibble we had was with the heat---I suspect it's controlled from the the front desk even though they made a big deal about how we had our own thermostat (it never responded unless I called the front desk --- it was November and would get cold in the room). It's within easy walking distance from the Visitor Information Center and the bus lines. The hotel staff was very helpful and the onsite restaurant/bar was fine for breakfast or lunch.	
Nov 21 2005	Tired and Overrated	The Whitehall advertizes itself as once being Chicago's premier hotel. Unfortunately, those days are long gone. Although the bar and lobby faintly echo lost days of glory, the halls were dirty and smelled stale, the rooms had damaged furniture, the bathrooms are tiny and dark. Worse, the manager was surly and the persons who parked our vehicle were careless with items stored in the vehicle. It appeared that it was given the &quot;Ferris Bueller&quot; treatment. We stay in Chicago frequently, and this is one place we will not revisit.	
Nov 18 2005 	Felt like coming home	I travel to Chicago quite often for business and I love this hotel.I alwasy feel at home here and comfortable.Ask for the Delaware Suite it is great and very warm and inviting.The bar and pizza oven next door are great and the dark wood adds to the feeling of comfort.This will be the only place I stay when in town and I have stayed at all the high end hotels.	
Nov 12 2005 	a classic that needs renovation	This is a lovely old hotel, but one that badly needs renovation to regain a luxury status. The furniture is worn, the bathrooms outdated. The concierge is knowledgeable. The staff is courteous. The location is ideal. If spruced up, this would be a first-rate choice. A New Yorker	
Oct 15 2005 	30 minutes in this hotel is enough!	I stayed at this hotel last week on business. We stayed for exactly 30minutes! After a flight from london a boutique hotel, endorsed by leading hotels of the world sounded great. Here are 5 reasons NOT to go to the Whitehall Hotel:1. Musty, dirty hotel.2. Dirty, Bathrooms with taps etc that come off in your hand.3. Piles of dirty bedsheets inthe corridors outside your door.4. Worn carpets, yellowing walls surfaces and dust everywhere.5. The rudest and most discurteous hotel manager I have every come accrossEscaping is not an option unlike your other reviewers we had to bargin our way out at $100 each! The four seasons accross the road where we moved to found this incredulous and were fantastic, we got a suite each for just $20 more. That is service! I know where I will revisit in future.	
Sep 22 2005	Very Impressed	Read some of your reviews before chosing the Whitehall. Like anything else they ranged from excellent to poor. We were favorably impressed. Location excellent. Desk and maid service excellent. Hotel staff, including Concerige excellent. We certainly found out stay to be comfortable and enjoyable.	
Aug 30 2005	We were very disappointed!	we reserved several weeks ahead and requested a quiet location. We were placed in a corner room with large fans from adjacent buildings below on both sides of the room. The room sounded like being next to a freeway all night. The room was very tired in appearance. There is a safe in the room that would not close. The bathroom turned out to need a lot of cleaning and repairs. The shower grout was black in several areas, the ceiling over part of the shower area was peeling, there was no stopper to take a bath. The dressing mirror would not stay in place. The location is good, but the hotel needs refurbishing, and to honor clients requests when placing them into a room.We were offered a different room and declined. We cancelled the balance of our stay and the staff wanted to charge us a cancellation fee. The manager was called and there was no cancellation fee.We then moved to a lovely hotel a block away at a simular rate.	
Aug 29 2005	Great Location - Needs Updating	The Whitehall has a solid reputation for service, location and amenities. I agree with the service - it was EXCELLENT, from the doorman to the front desk and housekeeping. The location is EXCELLENT - shopping and nightlife within walking distance. Down comforter and pillows a nice touch. However other amenities were a bit on the ragged side - our room had a very slow draining bathtub, dirty carpeting, chipped and worn tile in bathroom, poorly lit powder room, towel ring came off of hand towel holder, and the curtain rod for sheers came out of ceiling when trying to draw drapes. Yikes! Updating definitely needed!!	
Aug 25 2005	Happy Happy Happy	Whitehall was great!!!! If you are super snooty stay home and have your butler make your coffee.I was there on the 20th of Aug. with my older sister and it started out with the Gal at the front dest (@3pm) saying our room wasn't ready. (Super Sweet....she said 10-15 Minutes it would be ready) So instead of throwing a hissie fit, we asked where the hotel bar was. We sat down and my sister asked if we got a free drink because our room was not ready yet? TONY the bar manager at the time said &quot;Well sure you can&quot; So we did.And then we had another because the staff at the lounge bar was so fun and full of info as to where to dine, lunch, dinner, shop, dance, people watch. (Air Show was going on) Now off to the room we went.........Wonderful! We had two double beds and a view of the lake. We lucked out with a corner room!!!!The staff was so sweet to us, and yes they opened doors for us. Remembered our names and where we were from. The key at any Hotel is to treat the staff like you would treat your friends walking into your home. If you treat them extra nice, they will do the same for you. If I had someone come into my home and start complaining about the thread count or the selection of wine I picked out for the night etc, I will apoligize and tend to my other guests with open arms.But here is the deal........I do not have 20+ floors in my home.So I think all of you with bad remarks need to settle down a bit and look at the Whitehall as a great hotel.Tony, Joe, Leo.....Wonderful in the Bar/ReatrauantThe location is wonderful!!!!The doormen are great. We keep our bags there after checking out and it was tip top.So, yes it is Chicago, and there are many hotels to choose from, BUTThe Whitehall does do a wonderful job!!!!!	
Aug 19 2005	The saga begins	Upon arrival we mistook the young man in a hotel uniform as someone who would open the door or help with our luggage. Since this wasn’t the case we lugged our baggage to the unmanned front desk. When the staff member materialized we inquired about dining options. She noted the bar would be shutting down so we’d be better off to go elsewhere or order from the 24 hour room service menu. Tired and hungry we asked if we could order now and have it sent up. No good, we’d have phone from our room.  Minutes later the same woman took our order via phone for a sandwich and a couple of beers, and foam pillows. We were informed, “Dinner would be on the way shortly, however drinks should have been ordered ten minutes ago while the bartender was still on duty.” We decided to raid the mini bar and watch some TV during the wait. Strangely the remote was missing. The uniformed guy reappeared to deliver our sandwiches. When we inquired about the pillows, he performed an enthusiastic search of our empty closet. After concluding the closet was still bare, he helpfully suggested that pillows must have been removed to accommodate another guest since there were none left with housekeeping. Other things to know before you go:-Upon request a special a special remote control that only makes the channel go down can be delivered to your room -Lingering over your first cup of coffee is frowned on; refills stop at 9:45.-Pinnacle King Rooms are average sized with miniature bathrooms-Ice is a precious commodity and can only be distributed by room service-Hailing a taxi is more reliable than counting on the concierge to remember to arrange transportation, even if you are standing right in front of him-The business amenities are great as long as you brought your own machine and don’t need a business center-Request and complaints are met with attitude and sarcasm by the front deskMost importantly we learned walking away is sometimes the best option. For ten dollars more per night the Westin across the street had helpful staff, functional business center, spacious bath, and plenty of pillow options. As a special treat a fully functional remote is supplied with each room.	
Aug 16 2005	Nice - we'd go back	My daughter and I spent Aug. 12 -14 at Whitehall. I called them several days before our check-in and requested a room with a nice view. We got on the 17th floor looking out at another building which was fine. We didn't stay in the room much anyhow inorder to sightsee. The hotel location is great! You can go right down the block to catch the free trolleys or doubledecker buses. Most things are within walking distance. Hancock Observatory is right down the street with great meals at the Cheesecake Factory patio. We also grabbed a quick burger at Johnny Rockets on the other corner from Whitehall. An excellent Italian restaurant called Papa Milanos was a couple of blocks away. The reception girls were pleasant and friendly at Whitehall, as were the doormen, and valets. The room was nice with a double bed, new carpet, and plenty of lights/ lamps. The furniture was quaint and in excellent condition, as was the bed - great sleeping. Mirrors were plentiful - full length on the double sliding closet doors, huge mirror over the desk, and in the bathroom. Drapes were in fine condition, windows were clean. The air conditioner worked great. There were 3 phones - one on the desk, one on the nightstand, and one in the bathroom. The bathroom was large, and very clean, with lovely tile flooring, large vanity, and hairdryer. (The room also had an iron and ironing board.) The concierges were excellent - Ronald and Tim. They didn't rush us and had all the needed maps and info. To get ice, we had to call down to room service. They brought it up within 5 min. The adjoining lounge had a relaxing atmosphere with a piano player and singer. We didn't check out the fitness room - no time. We would stay there again. We had a very pleasant experience with Whitehall Hotel.	
Jul 29 2005	extreme disappointment	I made reservations for one night through (---). I prepaid and rec'd a confirmation notice from the WHITEHALL. After driving from Little Rock, AR to Chicago and arriving at 10pm to check in with my confirmation in hand, I was told by McKenzie at the Whitehall front desk that there was no room for my family. They had a guest extend their stay. She attempted to send us to a 2 star hotel down the street which we drove to in desperation, but wouldn't let my dog spend the night in the hotel she found for us. Therefore we drove back to the Whitehall, again told that there was no room for us, wouldn't refund our money which we pre paid and then she and the night time manager got very rude with us. We had to drive 3o minutes outside of Chicago to find another hotel, we checked in one finally about 1:30pm. The Whitehall staff does not care about the paying customer. I would not recommended staying there to my worst enemy. A good business person would have told the guest requesting a longer stay that there was a pre-paid customer checking in that evening and that the room was needed and they should find alternate lodging, NOT the person arriving at 10pm believing they had a room to stay in.	
Jul 21 2005	Great Location	We got the room for $140 on hotwire for one night. Loved the location. The room was nice sized as was the bathroom. Did not care for the front desk gal at all. Other than that, concierge was helpful in guiding us to the El for a Cubs game. The neighborhood is great too.	
Jul 1 2005	Didn't want to believe it	Our travel agent booked this stay for us, so we hoped we would get one of the better rooms. Not the case. For $269/night, we were shown to a tiny, dingy, musty old room with a window facing a blank wall. The furniture was outdated, and wallpaper tried unsuccessfully to mask a large crack in one wall. The bathroom was not big enough for two people. It really did have old cracked tile on the floor and the shower was mildewed beyond belief! I called the desk clerk immediately and simply said the room was unacceptable and asked for another. She said she would call back in two minutes. After 15 minutes without a reply, I called again; she had forgotten! This time she said we could move to one of their &quot;nicest, recently refurbished rooms on the club level&quot; and when we got there had to believe that The Whitehall just doesn't know any better. The room was larger, with no apparent cracks, and a little view of the city around the corner of a brick ell. However, the dark granite that replaced the old tile in the bathroom didn't quite hide the mildew in the corners, and the furniture was exactly the same as in the first room. One good thing stood out--the beds in both rooms were the same: very comfortable, with luxurious fine linens. We were never offered the club level amenities, but what kept us here for 4 nights was the concierge staff (Tim is exceptional!), the location, and the bed! Take away those three things, and you have an $80/night Best Western with so-so housekeeping. By the way, our friends' room had such lumpy carpeting that it was a trick to negotiate walking; they were shown another room but it wasn't much better. They did, however, have much newer, nicer furniture than ours!	
Jun 28 2005	Poor Reception	Stayed a week in Chicago with a work colleague in June 05. As the hotels were busy had to split the week between the Fairmont (Great!) and the Whitehall. For the Whitehall we originally had 3 days but managed to get an extra day to complete our stay.Whilst staying at the Fairmont we popped along to Whitehall to check out the hotel and that the booking of a twin room for 4 days was OK. Receptionist said they were fully booked but had our booking so no problem.But when we actually came to book in at the Whitehall the receptionist at first denied that we had 4 days booked until we dug out the paperwork to prove it. Then she said we would have to check out of our room the next day with our belongings and check back in again.Then she said there was only a queen bed available. Not wanting to sleep with another man I had to sleep on an uncomfortable rollaway bed. The bathroom was cramp and all the towels were on a rack above the toilet so when you pulled a towel off the facecloths fell down the toilet.After complaining to our booking agency we were told to catch the manager at 7am. Finally she had a twin room for us, so we moved our luggage and went to work.When we returned our new key cards did not work so we had to trail down to reception. At reception they said they had sent another couple to our room who had complained about our luggage in the room. They gave us replacement cards which then did not work the following day.Overall the hotel itself is fine and clean, the doormen great but the reception staff need to get their act together. I do not pay over $200 per night to sleep on a rollaway bed especially when I have gone round to the hotel itself days before to double check everything was OK.	
Jun 26 2005	Boutique cette inconnue.	Somebody should explain the management of this establishment that the qualification of BOUTIQUE stands for &quot;small &amp; sofisticated &quot; , not &quot;small, decrepit , dusty &amp; noisy &quot;. Unfortunately, American people are so fascinated with Europe that tends to accept every forgery of a European Establishment, whether British, Italianate or even French-looking, and be very forgiving of every possible drawback.In fact, this hotel , in a way, peculiarly encompasses the worst of European hotels (small rooms, tiny bathrooms, dingy hallways, crammed elevators, funny receptions, pretentious common areas) with the worst of American establishments (noisy AC, bad food, mediocre toiletries, neighbours having sex at 4 a.m. and rude yobs from the country spending the W.E. in the Big City) .But not all is so depressing : the bed is extremely comfortable, room was clean, the doormen are very friendly and the all-Black-young women frontdesk is crisp , attentive and (to me) exotic. The Bar is indeed very nice.All of this for 239 $ a night. Better somewhere else.	
Jun 21 2005 	Great Hotel Service and Location	We just completed an extremely pleasant stay at the Whitehall Hotel. The Hotel is in a perfect location, the room was wonderful, and the service was great. We never opened a door walking into the hotel, and the concierge was extremely friendly with reservations, and the complimentary limo ride to our restaurant. We had an excellent conversation with the limo driver, Colin, who was very courteous. We will certainly stay at the Whitehall again in the near future!!	
Jun 19 2005	Wonderful Serivce	We had the pleasure of staying at the Whitehall Hotel the weekend of June 10th. Our room was classically dressed, clean and quite large enough for 2 people. Bathroom was roomy as well. What really stood out to us, was the incredible serice EVERYONE on the staff gave. We were always greeted and doors held open for us. The concierge was most helpful with tickets to museums, maps and specific directions for the L &amp; buses. Fornetto Mei was just as wonderful. We will certainly stay again at this old gem of a place!	
Jun 19 2005 	Great Price Great Neighborhood	Stayed at the Whitehall second week in June. Several conventions were in town, and most hotels had raised room rates to full fare -- so the Whitehall at $169 a night was a find. I try to stay away from large corporate style hotels when possible since I find the service and personal touch of smaller hotels more friendly and personal. The Whitehall did not disappoint on any measure. Room was plenty spacious and clean. Staff was very friendly and accomodating. Quirky holdovers from days past include the small elevators and small hallways. No ice machines, but they delivered a bucket on request within a few minutes. Grocery stores, restaurants and transportation all within a short walk. Decent fitness center and complimentary morning coffee/tea made for an altogether excellent stay. Give me a Whitehall over a Hilton any day.	
Jun 6 2005	Way overpriced	I stayed at Whitehall this past weekend- great location, but that's all I can say positive. Room was small and dirty, staff indifferent, toilet broken all weekend (and I did report it), no amenities (e.g. newspaper, coffee maker). Would certainly not stay there again.	
May 28 2005	Know yourself love the Whitehall...	My wife and I just spent 4 days at the Whitehall and we absolutely loved it! We researched the hotel on trip advisor ahead of time, and some of the reviews were admittedly a bit disconcerting. But we read enough &quot;between the lines&quot; of the bad reviews to realize this was probably our place – and it was!The most important thing to know about the Whitehall is that it is a boutique hotel, not a “mega-tel”. It is small, quiet, elegant, and personal. This has to fit your personality or you will be disappointed. Otherwise it's like finding a diamond!Front Desk: All of the counter staff were superior, and they went out of her way to make us feel at home. Shift changes only proved that this service was status quo and every request was handled impeccably.Room: We stayed in a king-room on the Pinnacle level, which was fabulous. Our room's furnishings were very attractive and proper. Nothing was overused or worn. We saw no mildew, stains, peeling paint, or any of the other things mentioned in other reviews. On the contrary, it was very top notch and our linens were exquisite.Food: Multiple uses of room service proved the fare to be wonderful. We will crave the home made potato chips with fontina cheese fondue the next time we need a snack. Service was always quick and professional, and if you need some inspiration, they will give you some wonderful ideas for entrees and snacks.Concierge: Unfortunately, for us, this was a sore spot and a disappointment from some earlier reviews. I don't want to focus a hotel review on one person so I'll spare the details, but the resulting misadventures could have been achieved sans the $20 tip. As we planned to continue using the concierge services, we let him know of our misfortunes. Unfortunately, he made no attempt to recover. Therefore, we just spent $9.95 a day for internet access and did everything else for ourselves. Maybe it was just a bad day or a new/different concierge, but be aware.Location: Others have covered it, and even the bad reviews concur, so I won't belabor the point...it is PERFECT. The Whitehall could not be in a better spot for dining, shopping, or sight-seeing.So it comes down to what you want: if you do not see the historical relevance and charm in a small wood-paneled elevator (yes, wood creaks) then the Whitehall may not be the place for you. But if you find quality more important than quantity and enjoy the personal touches that come from a very accommodating staff, you’ve got your place. If you are contemplating the Whitehall and this type of hotel appeals to you, you are sure to enjoy it as much as we did. We are currently planning our next visit.	
May 24 2005	Great Hotel But....	5/24/05We Have just returned from a 6 night stay at the Whitehall Hotel. The location is just fabulous, 1/2 block off Michigan Avenue. The hotel is a small chic property, just across the street from The Four Seasons. Our room on a club floor was beautifully furnished in a traditional decor. Our room had data ports, and the fee of $9.95/24 hours seemed reasonable for a big city hotel. OUr room included a breakfast, which was very good, and one cocktail in the evening, with some hors'de'ourves, served in the bar. Bar area was very relaxing, like a library. On the weekends there was a piano player and vocalist, a nice touch.Only complaint......some areas of the hotel were under construction, this affected the water pressure in the shower....sometimes the water stopped in mid shower....it came back on in a few seconds..but it was very annoying.All and all a good stay, would definitely stay again. Staff most helpful with reservations and recommendations.	
Apr 11 2005	Travelzoo Deal or Not Over-Priced and Over-Rated	I see there is a new option here on Tripadvisor.com that allows you to add photos! I wish I had taken pictures of the peeling paint, the mildew on the shower curtain, the water stain on the ceiling, grungy carpeting, dirty grout... You get the picture, this is NOT the special place, the &quot;boutique&quot; hotel, they would like you to think it is when making a reservation! If that's what you're looking for, stay around the corner at the Tremont! Yes, we got it for the bargain price of $139 on a weekend Travelzoo special, but there are plenty of hotels (even in similar excellent locations) where you can get that kind of price on a weekend in Chicago. I would have to echo an earlier review here on tripadvisor.com:&quot;The Whitehall is listed in the publication &quot;The Best Small Hotels in the World.&quot; Please. The Whitehall is the worst Chicago hotel at which I have ever had the misfortune to stay.The location is excellent - one block west of Michigan Avenue. That's where the good news ends. The staff is uppity. The rooms are VERY small. The hotel is badly worn, in need of a face lift. The noise from the pipes is awful.This is an expensive hotel. For the same price you can stay at wondeful Chicago hotels - Fairmont, Peninsula, Meridien, Intercontinental.Do yourself a favor - avoid the Whitehall.&quot;	
Mar 28 2005	Loved the Whitehall	My wife andI stayed at the Whitehall for our 25th wedding anniversary.It was my first trip to Chicago,my wife and her mother have been many times before and have stayed at the Whitehall and always had a very nice stay.I myself had a great time.I thought the hotel was first rate.We did have a problem in that the room was not ready,when we arrived but we took the time to sightsee.I found the staff very helpful,the room was very clean and had a wonderful view.the bar was perfect.To all the other people who complained {some may have been legit}but a few were over the top and vicious.And I'm sure the hotel is glad that some of these people will not be back.It will make it easier for me to get my next room this spring.We feel that the Whitehall rules.	
Mar 15 2005	Nice but old	I stayed at the Whitehall Hotel for a weekend in March. While the hotel has a great location right off Michigan Ave and close to Oak Street, it is badly in need of renovation. One of the elevators was broken the entire time so guests were forced to choose between the one working in the lobby or the freight elevator near the kitchen. The room I was in was quite spacious but the floor was noisy and the walls were thin. All in all, it was a good value, but could be better.	
Mar 13 2005	Had a wonderful time!	We just returned from our trip to Chicago and The Whitehall Hotel was a wonderful place for us to stay. The staff was both friendly and helpful. Our room was great, wonderful furnishings, spacious, and clean. I consider myself very picky when it comes to hotels and I would highly recommend this hotel. I have read some of the other reviews on this hotel and find many to be very unfair. Yes, the pipes can be loud at times- it is an older building- but that is what gives it it's charm. There are different types of rooms, my mother's room was not as fancy as ours, but it was still nice. The location can't be beat. All in all it was a great trip and I would do it all over again.	
Feb 1 2005	Darrin 	I don't know what the problem is with some of these people that write these reviews, but my stay at the Whitehall was wonderful!! It was an absolute delight mainly due to Darrin (the front desk agent that checked me in) and Monica (the wonderful concierge). I was staying at the Whitehall over Christmas on business that couldn't be avoided &amp; was naturally depressed and irritable about not being with my family for the holidays. I'll admit, I didn't want to be there and actually wanted to hate it. This must have been obvious to Darrin as he was checking me in because he thoughtfully noticed that I would be there over the holiday and subtly acknowledged that it must not be easy to be away from family. He said that maybe a quiet room on a high floor with a view would make it a bit easier! From that point he had me laughing so hard about my situation that I was almost GLAD to be there! He said that I can at least brag about my room while I am on the phone with my husband, etc. Darrin was great and obviously has a intuitive sense about people to know what I needed--a kind face, a good laugh, and a great room. He directed me to Monica, who was the greatest concierge I have EVER been fortunate enough to have. She was so knowledgable and accomodating! She is an EXPERT on the Windy City and has the gentle demeanor of a reliable friend. I will say, despite Monica &amp; Darrin, the entire hotel could use a facelift. The lobby is a bit dowdy and the heating unit was loud at times. I could notice, also, a huge difference between the front desk day shift and the front desk night shift. Darrin and the young woman working with him during the day were wonderful, the night shift seemed immature and downright unprofessional and unruly. The restaurant, Fornetto Mei, was alright I guess; but it seems to try too hard and fumble over itself in the process. The obnoxiously loud, bawdy breakfast manager of Fornetto Mei needs to tone it down. . .alot. It is too early for all her noise. I would definately recommend the Whitehall to everyone. . .and pray that Darrin and Monica are there!	
Nov 20 2004	Whitehall is a Real Gem	This charming hotel made my recent visit to Chicago a delight. The decor is pleasant and fresh, with an adequate size room and nice, shiny bathroom. Providing terry robes eliminates the need for packing a bulky item. The lights in the room are GREAT, lots of wattage for reading (unusual for hotels). Personnel were accommodating. One can't beat the location, half a block from Michigan Avenue. I wouldn't hesitate to recommend to others and certainly hope to stay here again myself.	
Nov 6 2004	Whitehall not bad at all	We stayed at the Whitehall 11/3 - 5. We had two adjoining rooms that were very adequate -- not huge, but fine. We were a little nervous after reading some of these reviews, but were pleasantly surprised. We had gotten a good rate on Expedia, much less than anywhere else close by, and I would definitely stay again.	
