	Loved it!	Loved it! One of my favorite hotel's that we have stayed at in Chicago. Great room, great breakfast, great location. Everyone we came in contact with was so pleasant. The lobby was beautiful. The room in nicely updated - and breakfast was delicious. Hopefully we get a chance to stay here in the future and most defiantly will recommend it to our friends.	
Dec 20 2005	Nice hotel except for the noise.	My family stayed at this hotel the week of December 12th-16th. Overall, the hotel was very nice and the free breakfast and happy hours were great. The location is very good also. The rooms were clean and comfortable. The only negative is the noise. I could easily hear people in the next room or noise from the street. I was on the 9th floor so the street noise was surprising.	
Dec 18 2005	Much Fun	My Family and I stayed at the Embassy Suites Chicago Lakefront hotel for the first time this october. We are Hilton Club Members so we were led to stay at a Hilton-affiliated Hotel and we picked the Embassy Suites. We stayed from Oct. 21-23 and enjoyed it very much. It is in a fabulous location just situated between the Miracle Mile (Michigan Avenue) and the Navy Pier and Lake Michigan. You could see everything from just outside your window, such as the Hancock Tower or the River. The rooms were pretty comfortable and it was pretty spacious. The lobby is pretty and the Manager's Cocktail Reception everynight was very nice. It was pretty crowded during our stay because the White Sox were playing in the World Series those nights and it was nice because the TV's all around the lobby showed the game. The breakfast was nice. My only concern was that the tables were too small. There isn't much to do in the hotel itself, but step outside and its a world of excitement. Chicago is nothing like NYC and it is one gorgeous and clean town. The restaurant in the Hotel, P.J. Clarkes, was nice and the food was pretty good. I definatley reccomend this hotel!	
Dec 8 2005	Great for Families	My wife and I and our two kids (ages 10 and 6) stayed here five days leading up to Thanksgiving. The Embassy Suites is a great place to stay if you have kids and are going to be in town for more than a day or two. It seemed to me the same crowd you'd have at a hotel near Disney World--i.e. lots of families with young kids.  We had a room on the 9th floor--there are 17 total--with a good view of the lake. The location of the hotel is just fine, situated between Michigan Avenue and Navy Pier We didn't have a car with us, but never had any trouble getting to where we needed to get to. You can walk anyhere from the Loop to the Hancock pretty easily. With four of us, taking a cab to the museums was only a couple dollars more than the bus would have been, and much more convenient. There is a Walgreens on the same block, with a liquor store and a gourmet market one block away. Since there's a mini fridge in the room, you can stock up on snacks for the kids.  I expected the worst concerning the nightly reception and the breakfast, but it wasn't that bad. Weekends are definitely more busy. Just know if you choose to get to breakfast at the same time as everyone else, you'll be waiting for your breakfast with everyone else. If you don't want to wait in line for breakfast (like 10-15 minutes), simply wake up earlier. You can always skip the line and get bagels, juice, cereal, etc. with no wait.  Don't stay at the Embassy Suites expecting luxurious surroundings, especially when there's an Intercontinental, Ritz and Peninsula within a mile. Yes, noise carries quite well in the building, and there are hotels closer to the heart of the action. However, you get breakfast taken care of every day, can have a couple pops in the afternoon, and the room has two TV's so the kids are happy.  Having some patience will definitely help. However, chances are if you are traveling to the big city with kids, you probably already have enough to enjoy your stay here.	
Nov 27 2005 	Embassy during the week great	I had an extended stay at this Embassy. A total of 5 1/2 weeks. During the week it was mainly business people. No long lines at breakfast (6:30am start) or managers reception (5:30 to 7:30pm). Both are 7 days a week. Fairly quiet (if you are high up) except for the emergency vehicle sirens. However, the invasion of children started on Friday nights. Lots of noise and long lines at breakfast and reception. With the atrium the noise rose so it is best to be up on a high floor. There is a washer and dryer on floors 10 &amp; 14 for those longer stays ($1.50 each). However, the walls are paper thin. Speaking, radio, TV and children are very noticable from the next room. Rooms in the corners should be quieter. Also, the beds are hard (at least on floor 13).	
Nov 26 2005	NOISY	my family and i have stayed at a couple of embassy's which has been great due to their &quot;suite&quot; rooms that accomadate multiple peoplethe view is spectacular and the rooms and hotel are nice but at night having the atrium made the hotel very noisy at nightmy family of 4 had to sqeeze into the back room which was very uncomfortable especially when we needed the living roommy recommendation is to stay high up and as deep in as possible, some rooms are tucked behind which is probably the best way to gootherwise, great food, fabulous for families (but sometimes too many children creates more noise) and GREAT LOCATION!unfortunately we will never go to an embassy suites again	
Nov 6 2005 	not the finest of the Embassy Suites	There were no real problems with this hotel it was merely a disappointment. I have stayed in various Embassy Suites over the years and have always enjoyed them but this one was nothing special and not the greastest value for your dollar. The concierge was not very helpful or friendly either.	
Oct 30 2005	Embassy Suites Lakefront - nice stay	We stayed here last night (Sat, Oct 29) for a short family outing to Chicago. Won a bid of $65 each for 2 rooms on Priceline - what a steal! Our family of 4 (two boys 8 &amp; 11) were very satisfied with the accommodations and service, especially given the price, since the cheapest rate offered on the web was $199.We arrived at 1:00, but were told our rooms weren't ready since check-in is at 4. No problem, we wanted to have lunch so we walked to Navy Pier (not as close as I had thought but a nice day for a walk nonetheless) and then over to lunch at Dick's Last Resort on the North Pier. We returned to the hotel at 3:30 and were given 2 adjacent rooms, having requested such. Both rooms were the typical Embassy suite style - separate bedroom, fold-out couch in living room (on the 10th floor) - each bedroom had two double beds. I decided that a King bed would be nicer for hubby &amp; I, so returned to the front desk to ask to be changed, which was kindly accommodated (on the 12th floor). No mention of Priceline either time. Unfortunately when I exchanged room keys, the boys and my husband, waiting in one of the suites, had left some luggage in the other suite. So when I returned with the new room assignment, we had no keys to get in the other room. I found a maid a few doors down and explained. She called the front desk to confirm my story (can't just be letting people into strange rooms you know.) When confirmed the front desk said that security had to let us in and they would be right up. After waiting a few minutes, the maid kindly let me in herself so we wouldn't have to wait longer. Rooms were a contemporary design with modern furniture in nice shape. Rooms were pleasant to look at and comfortable although it was weird that the rooms had a window with shutters looking out onto the hall, but we just closed them. The view not much to look at, not a problem. Nice that the bedroom window opened to let air in. Room was absolutely sound-proof - didn't hear a sound from any other room or floor (except occasional siren outside.) Internet connection was woefully slow so we weren't able to use that - didn't bring it to the hotels attention since we weren't in the room for that much time.At 5:30 we mosied down for free drinks at happy hour and relaxed while the kids swam. Hot tub and pool are nothing fancy - basically a lap pool, but we pretty much had it to ourselves, there was one other family in the pool room. The only minor complaint was that the bartender would only let you take one drink at a time, so hubby and I had to go to bar together or one of us made two trips - silly. But a good deal regardless. There was nachos, cheese sauce and nuts for snacks. No long lines at the bar or for food.We dined at PJ Clarkes in the hotel which we enjoyed - having left the kids at the room checking in via cell phone.Free breakfast the next day was also very good. We arrived at 8:00ish having read horror stories on tripadvisor.com about dreadfully long lines after 9:00. Since it was Sunday there was made-to-order omelets, as well as bacon, sausage, cereal, donuts, juices, fruit, etc. We checked out at 9:30 and there still was no waiting line at breakfast that we had been warned about. Being a weekend, I was surprised that it wasn't busier. Self-parking was $32.Would stay here again, especially at this price given the free happy hour and breakfast - what a great deal. Would be fun to do a &quot;girl friends&quot; trip here. Overall a very nice stay, kids really enjoyed having a suite all to themselves.	
Oct 26 2005	Great Family Place	Because we didn't get much of a family vacation, I told my boys that their first 3 day holiday we would book a trip where ever American had a netsaver. Well, last weekend the Netsaver from Dallas to Chicago was $139. We booked the Lakeshore Embassy suites ($279 a night). First, Chicago is a great place to take the family. There were tons to do. The hotel's location is so-so. It is great if you are interested in the Navy Pier and things on that side of town. You can walk to Navy Pier in 5 minutes. We did that on Saturday. It is quite a ways (about 2.5 miles) from the Museums. We bought a CTA pass that will take you on any train or bus in town. It was $9 a piece for a 2 day pass, but it sure saved on cab fares. The only problem is that the main line (the red line) is about 5 blocks from the hotel. That would not be a big deal unless the weather is bad, which it was on Sunday and Monday. So, if you want a hotel closer to the line, you might look somewhere else. Anyway, we did the Bears game on Sunday...a great way to experience true Chicago. We ate at the typical pizza joints (Gino's East and Giadarnos sp?). The hotel itself is really nice. Getting into it is a little cumbersome. You go into a small lobby on the street level where the bellmen are then take an elevator to the Sky Lobby located on the 6th floor. Then check in. The main lobby is huge and very open with lots of windows. In the main lobby you have the manager's reception at night (mixed drinks, beer, wine, sodas, snacks) and breakfast in the a.m. Breakfast was quite good (omlette station, pancakes, egss, bacon, sausage, hash browns, and assorted pastries and breads). There was a pool and hot tub, but according to my boys (who are like polar bears) the pool was too cold and the hot tub too hot. The rooms are typical Embassy Suite rooms. We booked a corner suite, which was great. We had a view of the lake, which was really nice. My only criticism is the walls are very thin. We could hear our neighbor's radio as well as other entertaining sounds at different points during the night and I am sure they could hear our boys early in the morning. The first night the hotel was packed, but with the Sox playing in the World Series I expected it. So the lines at the happy hour and breakfast were long. The next night and morning were much better. Let me know if you have any questions, but overall a great trip and good hotel.	
Oct 25 2005	Had a great time!	My girlfriends and I stayed at the Emb. Suites Lakefront the weekend of Oct. 21st thru the 23rd. THe hotel is in a great location and it only took a few minutes to walk to Michigan Ave. There were four of us and we enjoyed being able to spread out a little as compared to having just a regular hotel room.The hotel itself is nice and is decorated in a contemporary fashion. The room itself was really basic, but had comfortable bedding.We really enjoyed the complimentary happy hour from 5:30 to 7:30 and took advantage of it! Morning breakfast was also good and we never had to wait in line.There is a restaurant/bar in the same building, PJ Clarks, had a few meals and some drinks there as well.There is a Walgreens and a liquer store a block away---couldn't ask for a better location.Be sure to try Gino's East pizza while you are there---it is awesome! Just wish they wouldn't have moved locations, much more convenient off of Mi. Ave.	
Sep 19 2005	Almost Perfect	There was about 200 woman that checked into the Embassy Lakefront Sept. 16th, 2005. We arrived 1ish. Our rooms were not ready and we were told they would be at 4. No problem, we ate and did some site seeing. We came back around 3:30 and were told not all rooms were ready. We had 4 woman to a room. We turned in names ahead of time (of whos in whos room) and the young girl at the desk had them all wrong. This is really the only complaint we had. The happy hour was just too much fun. We had 11 girls in particular that could have a good time no matter where they stayed. The bartender was so great! I don't remember his name but he had a great time with all those woman. The lines for the free drinks were never bad. They served nachos, warm cheese sauce, pretzels and salsa. The free breakfast in the morning was so good. Of course when you are hung over anything might taste good. I read reviews about there not being enough tables available but this weekend was not the case. The &quot;wild&quot; girls stayed up late on Saturday in the lobby. The one security guard &quot;Bill&quot; was so great. The woman wanted to play cards in the lobby but didn't have any. The security guard went and found some cards and a bucket of ice too for their drinks. There was some kind of &quot;celebrity&quot; staying here this weekend so there were security guards everywhere. This didn't pose a problem for the hotel though. They handle it well. Don't know who the celebrity was but that is partly do to the free drinks between 5:30-7:30. :) This hotel is also in a great location. Not too far from anything. I loved this hotel and would stay here again.	
Sep 9 2005	I Want To Go Back!!!	I spent the last three weeks preparing for my trip to Chicago. I did so much research reading tons of reviews on TripAdvisor and other hotel review sites. I thought perhaps booking this hotel may have been a mistake.Boy was I wrong.We had a group of five guys together for a few concerts during Labor Day Weekend. The room was big enough to accomodate all of us comfortably. The staff was extremely helpful and answered all of our inquiries immediately. Room Service was typically expensive, but the Pizza the hotel serves (Gino's East of Chicago) was better than the renowed pizza at Pizza Due and Pizzeria Uno. One thing I read in the reviews was that the hotel was noisy. I was there on Labor Day weekend and I didn't notice noise being a problem. We were told the rooms were soundproof and in my four nights at the hotel I didn't hear anything when I was in my room. On Saturday and Sunday the hotel seemed fairly booked, but the lines for the happy hour and made to order breakfast were only about five minutes each. On Monday the hotel seemed empty and there were no lines.The pool was small, but as I was the only one using it I found it quite enjoyable. The hot tub and sauna were terrific and clean as well.I highly recommend the restaurant attached to the hotel PJ Clarkes, especially their mini burgers. Also attached to the hotel is an AMC Movie Theater and a Walgreens. Across the street is Fox and Abel an incredible gourmet supermarket, as well as a liquor and convenience store.I slept in a king bed and on a double bed and both were comfortable, with my only qualm being the quality of the bed sheets. I use 300 count at home and these weren't up to those standards.I requested and received an early check-in and late check-out with no problem.A great hotel with an incredible location. I was able to walk or take public transportation to all the major sights and from/to O'Hare.	
Sep 3 2005 	Completely exceeded my expectations	En route to a combined business/pleasure trip to Wisconsin, we decided to fly into Chicago and spend 1 day and evening there. We are a family of four, and most always seek out suite type accommodations - this property had to be one of the best in this category type! Our corner suite had gorgeous views and was very spacious. Definitely book this room type if available. Loved having an extra sink in the bedroom, and the bed linens were very plush and comfortable, the matress was also very good. Usually I feel that we give up the luxury factor of fine hotels in exchange for more room by staying at a suite property, but that was definitely not the case here! The breakfast was better than expected, many choices for both adults and kids. The location was perfect for what we wanted to see-Navy Pier, Water Tower Mall, Miracle Mile shopping. Check in and bell staff were friendly and accommodating, held our luggage on both arrival and departure. The only downside is the parking fee- 58.00 for 1 day and a few hours the following day! Otherwise a great stay, give it a try!	
Aug 28 2005	Nice hotel but chaotic	We have just returned today from a 4 day stay at this hotel. Let me say, it is a very nice hotel with a great location if you want to be near the Navy Pier. It isn't too far a walk to the shopping on Michigan ave.Make sure you request a corner room with a view. They are much more spacious and of course, have a small view of the lake. Our suite was clean and very roomy. No problems with housekeeping. The problems are many, many kids...running wild quite often at breakfast and during thr free happy hour. Be very prepared to wait in line and probably take your breakfast to your room, as there will not be enough seating. And happy hour has lines that make you wait forever for that drink. Make sure you get two {the max at once} so you don't have to wait again right away. One of my biggest complaints and requests...PLEASE change the appetizers once! If I ever see another nacho, if will be fine. And as one other wrote, the hassel for breakfast makes you wonder if it's even worth it.We come to Chicago every year and try different Hilton hotels. Will I pick this one again? Probably not. I have stayed at others in the city that are better and much more peaceful. Just my opinion.	
Aug 19 2005	Friendly Service	We usually seek out Embassy Suites when traveling with the kids because the room layouts are great for us. This ES was not disappointing in that regard. The room was a nice size with a good size bathroom and a convenient extra sink in the bedroom. The linens on the bed were very nice and comfortable. I found the bathroom to be a little run down looking. Also, the suite was dusty. It seemed that housekeeping did the bare minimum, so if there was dust, it made you wonder what other cleaning shortcuts were taken with disinfecting, etc.The free breakfast is honestly not worth the aggrevation. The food is almost not edible and it is so crowded that breakfast leaves you feeling stressed instead of relaxed. Most of the food is cold and I found that they didn't even have a decent tasting cup of coffee.	
Aug 18 2005	Embassy Suites Lakefront great for families	We stayed here in August with our 2 kids and really enjoyed it. We got great service, the concierge was friendly and knowledgeable, the room was very nice and clean. The complimentary breakfast was expansive, with a wide array of options. It's very close to Navy Pier (which was a madhouse, but had a great water taxi to the museums). I'd definitely stay there again, we felt pampered.	
Aug 15 2005	Fantastic Hotel - far exceeded our expectations	I came to Chicago for a family reunion and this hotel was chosen for it's location, affordability and family friendliness. It far exceeded our expectations! First, it's in the heart of beautiful Chicago. We even had great views of the Tribune Tower and the Wrigley Building from our larger than expected room. We were easily able to walk everywhere we wanted to go. It even has a stop for the Chicago Free Trolley right out side the hotel.The lobby was large and allowed people to gather easily without taking over the entire space. The complimentary cooked to order breakfast and the evening reception were fabulous - a huge hit! The planners just thought it would help keep the cost down for families, but it exceeded everyones expectations.I've stayed at other Embassy Suites, but I've never been so impressed. I will definitely stay here again and recommend it to all my friends. You won't be disappointed.	
Aug 11 2005 	Great Location- Very Good Hotel	We stayed at the hotel from August 3-8, 2005. Overall the hotel was very good and very clean. Staff was very friendly and very helpful. We were there with a 10 yar old and there were a lot of kids. I would not stay there if you are looking for a quiet hotel or if you do not like kids.Very well located, close to Navy Pier and Michigan Avenue. Many very good restaurants within walking distance. Museum Campus is 1 bus ride or a short cab ride.Breakfast was very good but very busy on the weekend. While the line moved fast, finding a table was sometimes difficult. Staff helped trying to find tables and putting reserved signs on the table so that you could get your food without losing your table.	
Aug 2 2005 	Port Authority Ambiance	I stay at a lot of Embassy Suites, this one had the ambiance of a busy bus station. It seemed that they were very busy and did not have the housekeeping staff to keep things as orderly and inviting as possible. It was a chock full of visiting families with lots of children running around. Given the lack of acoustical controls in the vast atrium it was a bit like listening to constant traffic. The rooms were small (the interior 'living room' drab, sterile, not entirely clean feeling) for example stains on furniture and carpet. The lighting was very harsh and unattractive. There was considerable noise carry over from the corridor on the atrium side. The bathroom was passable but uninviting. The breakfast was unrelaxing and hurried, the food was ok, but it was not worth lingering over or trying to read a paper and enjoy a cup of coffee. The tables are very close together, and the attempts to mitigate the over crowding mentioned in the other reviews was met with table cloth covered banquet tables throughout the lobby area......temporary and not very attractive. Ok so I am a bit of a diva.....The waits for elevator were crowded and again full of unaccompanied and sometimes rude and unruly kids....I would not stay here again. Now I do have to stay check in desk was staffed by personable employees as was the nice lady monitoring the breakfast. I am assuming the busyness of the hotel during prime tourist/family season attributed to the feeling of chaos and crowding. I imagine the staff tried to do the best they could under the circumstances.	
Jul 14 2005	A disappointment	I have stayed at a number of Embassy Suites and was rather disappointed in this one. When we checked in, there were a number of housekeeping problems with our room. It had, shall we say, not been cleaned thoroughly. In addition, someone had kicked or punched a hole in the bathroom door. When I complained, the desk clerk apologized but did nothing to help. The next day I spoke to the supervisor who was very nice and gave us a $50 credit to help make up for it. If there had not been a number of large conventions in town, I would have checked out.The pool is a joke. It is about 6 feet wide and totally inadequate for anyone except a sole lap swimmer.I have stayed at the other downtown Embasssy Suites in Chicago and it is far and away better. They are close together. Stay at the other one.	
Jun 28 2005	Loooved the Embassy Suites Lakefront!!	We just came home last night from a 3 night stay in Chicago. We LOVED everything about the Embassy Suites Lakefront. GREAT location. 3 blocks away from the Magnificient Mile. 4 blocks from Navy Pier. 4 blocks from Millenium Park.GREAT rooms!! We even got a FREE upgrade to a corner suite!! I highly recommend the corner suites. They are located at the end of a little hallway, so they are VERY QUIET and bigger than the standard suites and, because they are on a corner, there are tons of windows with AWESOME views of the city and the lake.I recommend asking for a room on the 15th floor or above.The suite was VERY CLEAN and everybody in the hotel (bell service, reception, etc) was so nice and helpful.Finally... GREAT BREAKFAST!!! Cooked to order omelettes, lots of great breakfast food (doughnuts, bagels, YUMMY FRENCH TOASTS, fruits, bacon, sausage, cereals, etc, etc.).We loved the Embassy Suite Lakefront in Chicago and we will definitely stay there again.	
Jun 28 2005 	Very good overall	I came for a conference and brought my family, and we had a fabulous time. The hotel is located in a great location, and we found the rooms very spacious. The fridge and microwave came in handy. Check-in was problem-free and we requested and got an early check-in (1:30 or so) and late check-out (12:30) with no hassles at all. The room was very clean on check-in, and staff were friendly and accomodating. We stayed on an upper-level floor which was almost but not quite a corner room, which meant that the door didn't open directly onto the atrium. Maybe that made it quieter, but we didn't have the same noise problems the previous reviewer did even though the hotel was booked solid during our 3-night stay. We had great city views which included the Chicago Tribune building, the Wrigley building, and a little slice of the Sears Tower. Unlike some other reviewers, we had no unmanageable lines for breakfast. We requested the early seating (they have 2) and there were never more than 3 or 4 people in the &quot;cooked to order&quot; line and I never waited more than 5 minutes. They also have self-serve buffet tables that were nice: scrambled eggs, bacon, sausage, and lots of choices for cereal, bagels, fruit, danishes, and donuts. Cooked-to-order choices included eggs cooked to your specifications, omelets, pancakes, and a &quot;special&quot; most days (our last day it was a breakfast burrito). The lines for the cocktail hour were longer, depending on how many people they had working the bar. Two of the 3 nights we were there the line moved quickly since they had 2 separate lines for beer/wine and mixed drinks, but the last night it was all one line and there was a long wait.The only reason I gave a 4-star rating as opposed to 5 was that the maid neglected to clean our room the 2nd day we were there. Granted, we were in the room until 11 AM or so and we were back by 3:30, but that still gives lots of time. Since we had plenty of clean towels left from the day before we didn't complain, but we probably should have.Other details: as stated by others, pool was really small but still enjoyed by our son; there is a Walgreens and AMC movie theater right in the same building (but you have to go outside to get to them as far as I could tell); and the gourmet store down the street is called Fox and Obel. The Navy Pier, Millennium Park (great sculpture/fountain which is a blast for kids on a hot summer day!), and Michigan Ave. are all in easy walking distance. Our son loved the glass elevators in the hotel--just like an amusement ride! I would definitely stay in this hotel again.	
Jun 23 2005	BAD service GOOD location	This hotel looks beautiful and location is great BUT the service was absolutely terrible. Our toilet didn't flush for a whole day and no matter how many times we called they didn't either come at all or they came jiggled the handle and said it was fixed. We wasted a whole day of our trip trying to get the toilet fixed. We finally moved rooms and the bellboy was supposed to help us but he never showed up so we had to do it all ourselves. This is also and extremely NOISY hotel. Kids were running around wild screaming and you could hear all of it. You can hear it less in the interior bedrooms, but then you can hear all the traffic and sirens. I know this is a city, I've lived in NYC before so I know how it can sound... but for the price, there was not much peace in this hotel. If you are going to stay here -- and I may again simply because I'm not sure you can do better for the location and amenities (fridge and microwave) try to get high up on the west side of of hotel (numbers up to 13 or less (such as room 1413 or 1711). There is a fabulous gourmet store and cafe for buying prepared meals and other stuff on Illinois St. It's not the marketplace but the one just past it toward the pier on the same side of the street. I can't remember the name of it but its &quot;fox and ....&quot; Make sure you take advantage of the free trolley to the pier and other places up and down Michigan Ave.	
Jun 13 2005	Great Location	Great Location - We stayed here from June 9th (Thurs) thru June 12th (Sun) for the Red Sox v. Cubs series. The hotel sits just a few blocks from Navy Pier in one direction &amp; a few blocks from Michigan Ave. in the other &amp; in a safe neighborhood that'll allow you the security to walk around to these different areas. The free drinks at the Manager's Reception every evening were a great way to start the night before heading out. We never found the lines to long and if you tip the bartender (was amazed by how many people don't tip!) you'll get the two drinks per trip to the bar that others here have posted that they didn't receive. The breakfast lines however were far to long (70+ people deep at it's peak) but we found a great diner just two blocks away. Also, PJ Clarks in the same building as the hotel, just below it, offers great food for lunch &amp; dinner &amp; a full bar.The hotel pool is good for children, not for the serious, adult swimmer (to small/crowded). If available, I suggest paying the extra $ for a corner room. I found them to be a bit larger and VERY quiet! The room itself was very clean, large (we had 3 sinks, 2 TVs, mini-fridge &amp; microwave) and the staff was all very polite and professional. All furniture, bedding &amp; upholsteries were in good repair. Rooms on the upper floors offer great views of down town and/or the lake.While you may not need a cab during your visit here (again, great location), if you do they're more than plentiful just in front of the hotel. Tip 1: There's a Walgreens on the same block as the hotel which allows the option of purchasing items to stock your mini-fridge with vs. paying $$ for over-priced hotel refreshments. Tip 2: As a previous reviewer has mentioned, cabs from Midway to hotel run about $40. We took the train from Midway to the stop at Clark's (approx. 25 minutes) then hailed a cab to the hotel for a total cost of $10. Over all a pleasant stay &amp; will stay here again if visiting Chicago.	
Jun 4 2005	Slightly above average	My travel mate and I (mid 30's males) stayed here while in town for the USA v England soccer game. We paid $259 for a corner suite on the 9th floor, which was supposed to be one of their larger suites. We found that it was average size for a room at Embassy Suites. However, it was extremely clean and quiet.The front desk staff and concierge were quite friendly and did all they could to make our stay as comfortable as possible. We were permitted an early check in at 11:30 AM.The hotel was completely sold out the night we stayed (5/28). This made for quite a large crowd at the Manager's Reception, so the line for drinks was outrageous. Some people have complained about the bartenders only serving 1 drink at a time. My advice; try tipping them! After all, the drinks are free, so what's a couple of bucks for each round? We were allowed to order as many drinks as we wanted, but we were only permitted to carry 2 at a time from the bar.After a long night of drinking, we were a bit late getting down to breakfast (approx. 10:15) the next morning. This is no joke. The line to be seated was over 75 yards long! It stretched the entire length of the atrium and bent around all the way to the gift shop. Needless to say, we skipped the free breakfast and just went to a coffee shop for bagels.The only thing truly negative that I can say about this property is the lack of transportation from O’Hare. Unfortunately, there is no shuttle. A cab ride from the airport is $40.I would give it 3.5 points, because it is slightly above average with all things considered.	
May 27 2005	Awesome	I stayed here with four other friends for one night - the room was very large and the free drinks from 5-7 pm were great.	
May 11 2005 	Great stay mystified by previous review	I stayed here for 4 days during the first week in May 2005 and had nothing but a positive experience. The room and hotel were clean (every day), quiet, and comfortable. I spent a lot of time reviewing available hotels and chose this one for its location and amenities. Sure, this is not a boutique hotel that pretends to be trendy, but it is part of a large chain which means they know how to do things right without being rude or snobby. I was up early each morning and did not experience the long lines at the breakfast that others had mentioned. Nor did I see a ton of kids all over the place. As a matter of fact, I could count on one hand the number of children I saw during my stay. The Manager's Reception in the evening was busy early but quickly cleared out and allowed for short lines. The swimming pool is indeed smaller than it looks on the web site, but I had no intentions of using it anyway. One thing I liked is that there are enough elevators, and they are fast too. It was sort of a pain not being able to get to street level in the main elevators, though.Other tips:1) There are always taxis at the valet drop off for use.2) The Thai restaurant around the corner is excellant.3) Free trolley to the Navy Pier (although it seemed rather deserted, maybe things pick up in the summer).4) Arrive for breakfast before 8am and the Manager's Reception after 6:45pm.5) Just use the self parking (which is a different driveway than the valet). I ended up in the valet drive and never saw my car again until I checked out. It was easy to walk everywhere from this location.Again, I had a great stay and will definitely look at staying there again next time I make it to Chicago.	
May 9 2005	Great for the price we paid!	Upon checking in and telling the desk clerk it was our first visit to Chicago and requesting a high room with a view, he put us on the top (17th) floor with a stunning downtown view!!Our room was large, clean, all the amentities we could ask for. There was compimentary cocktails in the lobby until 7pm and a nice complimentary buffet.There was an issue with the toilet flushing handle but it was fixed in a matter of a half-hour.The best part.... $60 on Priceline! Parking was $36 for 24 hrs.. ouch!Overall, 5 stars for what we paid!	
May 4 2005 	Never again.	For $300 a night you'd think you'd get something more then this. It's a shame to call these cramped rooms a 'suite'. They should've utilized more of the lobby space on their rooms. Housekeeping service was shoddy - during my week stay only once was my room cleaned without me calling the front desk.However, the happy hour and breakfast were great. But these two things aren't at the top of my priority list when returning to a hotel. I'm surprised this hotel is ranked so highly.	
Apr 27 2005	Perfect Chicago stay!	We loved this hotel!!!! Great location first of all. A few blocks walk to Michigan Avenue and a few blocks the other way to Navy Pier. There is a huge movie theatre right next door as well as a Walgreens drug store. The airline lost a piece of our luggage and the front desk staff could not have been more helpful and pleasant about faxing documents to the airline. Even though we were traveling with our 3 kids I didn't see an abundance of kids in the hotel at all. Cocktail hour was great. Breakfast was great - if you want high fiber cereal bring your own though, but that's just me! At $220 a night it was well worth it. A fabulous dinner tip is to go to Lawry's (like the seasoned salt) Get a coupon from the concierge that is for a complete - including a full bottle of wine - dinner there for 2 for $89. It was the best meal of the trip. We would highly recommend this hotel to anyone kids or not!	
Apr 14 2005 	Room never cleaned after three phone calls	The hotel looks great but the service was terrible. I came back from day at the Housewares Show to find the room had not been cleaned or bed made. I called housekeeping and the front desk three times over five hours and no one bothered to come. Finally about nine pm the front desk called to check on the clean staff who had still not arrived. At that point I simply asked to have some clean towels and left alone so I could go to bed. The towels and new coffee mugs took another forty five minutes to arrive.	
Apr 11 2005 	A Family Hotel Not a Business Hotel	Everything is great about the Embassy Suites in downtown Chicago--convenient location, helpful staff, big clean rooms, and a spacious lobby. Unfortunately I seemed to be the only guest at the hotel that was on business. It must have been spring break because the hotel was bursting at the seam with young children running in the halls, hopping on and off the elevators without parents, and lounging in the chairs in the lobby. None were disrespectful, just boundless with energy. The morning buffet usually required a wait of 30+ minutes from 8:00 a.m on and is not conducive to conducting business. After the first morning I took business associates up to the Sheraton for a quiet breakfast. An evening drink at the manager's reception also meant standing in line--and each person has to get their own drink. Off to the Irish bar on the riverfront for me.I will only stay at this hotel if I bring my family with me.	
Apr 2 2005	A Good Hotel.......	Though we spent only one night at the hotel, we found it to be comfortable and perfectly suited to our needs. Our 2 sons enjoyed the indoor pool, which is rather small.....but what can be expected of an indoor hotel pool in the city! We enjoyed the jacuzzi as well...very nice after a long day of running around and seeing the Chicago sights. The complimentary breakfast was excellent, got right in and got a table with no problem. We were expecting long lines and a shortage of tables per a few other reviews, but we had no problem. All in all, a comfortable hotel. The double beds were a bit on the small side...but no big deal. The hotel was clean and quiet, an excellent choice for our family of four. A good choice...we would definately stay there again. Oh...and don't forget &quot;Ed Debevics&quot; just right down the street, a great hamburger and milk shake joint.....great for families!!!	
Mar 28 2005	great for kids	We stayed at the Embassy Suites Lakefront with our daughter. We had a wonderful time. The staff was nice and informative. The included breakfast was great, a nice way to start the day. Plus, we enjoyed that we were given two seating times for the breakfast. A good location to get most places. We could walk to Navy Pier or Michgan Ave. in a matter of minutes. Our only disappointment was that the indoor pool was cool. We were there mid- March and would have been nice if the pool were a tad warmer. I have alread recommened this hotel to other people.	
